Data Import Template,,,
Table:,Item Price,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Item Price,,
Column Labels:,Item Code,Price List,Rate
Column Name:,item_code,price_list,price_list_rate
Mandatory:,Yes,Yes,Yes
Type:,Link,Link,Currency
Info:,Valid Item,Valid Price List,
Start entering data below this line,,,
,314S,Standard Selling,5
,315S,Standard Selling,5
,316S,Standard Selling,10
,317S,Standard Selling,10
,318S,Standard Selling,15
,319S,Standard Selling,20
,320S,Standard Selling,30
,321S,Standard Selling,30
,322S,Standard Selling,30
,323S,Standard Selling,15
,324S,Standard Selling,30
,325S,Standard Selling,5
,326S,Standard Selling,5
,327S,Standard Selling,10
,328S,Standard Selling,20
,329S,Standard Selling,7
,330S,Standard Selling,10
,331S,Standard Selling,10
,332S,Standard Selling,10
,333S,Standard Selling,10
,334S,Standard Selling,10
,335S,Standard Selling,5
,336S,Standard Selling,20
,337S,Standard Selling,5
,339S,Standard Selling,20
,340S,Standard Selling,10
,341S,Standard Selling,10
,342S,Standard Selling,10
,343S,Standard Selling,10
,344S,Standard Selling,10
,345S,Standard Selling,0
,346S,Standard Selling,80
,347S,Standard Selling,30
,348S,Standard Selling,20
,349S,Standard Selling,35
,350S,Standard Selling,10
,351S,Standard Selling,500
,352S,Standard Selling,5
,353S,Standard Selling,5
,354S,Standard Selling,10
,355S,Standard Selling,200
,356S,Standard Selling,0
,357S,Standard Selling,400
,358S,Standard Selling,2900
,359S,Standard Selling,3800
,360S,Standard Selling,10
,361S,Standard Selling,1
,362S,Standard Selling,45
,363S,Standard Selling,1
,364S,Standard Selling,10
,365S,Standard Selling,40
,366S,Standard Selling,5
,367S,Standard Selling,100
,368S,Standard Selling,10
,369S,Standard Selling,40
,370S,Standard Selling,10
,371S,Standard Selling,5
,372S,Standard Selling,221
,373S,Standard Selling,64
,374S,Standard Selling,382
,375S,Standard Selling,61
,376S,Standard Selling,0
,377S,Standard Selling,472
,378S,Standard Selling,0
,379S,Standard Selling,15
,380S,Standard Selling,50
,381S,Standard Selling,80
,382S,Standard Selling,530
,383S,Standard Selling,500
,384S,Standard Selling,1400
,385S,Standard Selling,400
,386S,Standard Selling,70
,387S,Standard Selling,105
,388S,Standard Selling,1300
,389S,Standard Selling,150
,390S,Standard Selling,10
,391S,Standard Selling,0
,392S,Standard Selling,0
,393S,Standard Selling,0
,394S,Standard Selling,200
,395S,Standard Selling,40
,396S,Standard Selling,800
,397S,Standard Selling,200
,398S,Standard Selling,200
,399S,Standard Selling,0
,400S,Standard Selling,200
,401S,Standard Selling,3100
,402S,Standard Selling,80
,403S,Standard Selling,340
,404S,Standard Selling,20
,405S,Standard Selling,180
,406S,Standard Selling,180
,407S,Standard Selling,100
,408S,Standard Selling,430
,409S,Standard Selling,50
,410S,Standard Selling,0
,411S,Standard Selling,20
,412S,Standard Selling,50
,413S,Standard Selling,70
,414S,Standard Selling,80
,415S,Standard Selling,50
,416S,Standard Selling,450
,417S,Standard Selling,50
,418S,Standard Selling,350
,419S,Standard Selling,50
,420S,Standard Selling,50
,421S,Standard Selling,50
,422S,Standard Selling,50
,423S,Standard Selling,50
,424S,Standard Selling,100
,425S,Standard Selling,50
,426S,Standard Selling,550
,427S,Standard Selling,150
,428S,Standard Selling,200
,429S,Standard Selling,200
,430S,Standard Selling,1500
,431S,Standard Selling,4500
,432S,Standard Selling,8000
,433S,Standard Selling,200
,434S,Standard Selling,200
,435S,Standard Selling,50
,436S,Standard Selling,20
,437S,Standard Selling,10
,438S,Standard Selling,40
,439S,Standard Selling,200
,440S,Standard Selling,250
,441S,Standard Selling,50
,442S,Standard Selling,50
,443S,Standard Selling,250
,444S,Standard Selling,250
,445S,Standard Selling,0
,446S,Standard Selling,250
,447S,Standard Selling,400
,448S,Standard Selling,300
,449S,Standard Selling,50
,450S,Standard Selling,300
,451S,Standard Selling,50
,452S,Standard Selling,50
,453S,Standard Selling,50
,454S,Standard Selling,70
,455S,Standard Selling,400
,456S,Standard Selling,200
,457S,Standard Selling,50
,458S,Standard Selling,200
,459S,Standard Selling,200
,460S,Standard Selling,200
,461S,Standard Selling,50
,462S,Standard Selling,50
,463S,Standard Selling,300
,464S,Standard Selling,50
,465S,Standard Selling,50
,466S,Standard Selling,50
,467S,Standard Selling,100
,468S,Standard Selling,50
,469S,Standard Selling,250
,470S,Standard Selling,70
,471S,Standard Selling,300
,472S,Standard Selling,650
,473S,Standard Selling,50
,474S,Standard Selling,250
,475S,Standard Selling,100
,476S,Standard Selling,150
,477S,Standard Selling,20
,478S,Standard Selling,50
,479S,Standard Selling,100
,480S,Standard Selling,250
,481S,Standard Selling,500
,482S,Standard Selling,1000
,483S,Standard Selling,200
,484S,Standard Selling,250
,485S,Standard Selling,50
,486S,Standard Selling,50
,487S,Standard Selling,0
,488S,Standard Selling,250
,489S,Standard Selling,400
,490S,Standard Selling,50
,491S,Standard Selling,50
,492S,Standard Selling,1800
,493S,Standard Selling,250
,494S,Standard Selling,500
,495S,Standard Selling,150
,496S,Standard Selling,200
,497S,Standard Selling,2000
,498S,Standard Selling,500
,499S,Standard Selling,300
,500S,Standard Selling,100
,501S,Standard Selling,500
,502S,Standard Selling,50
,503S,Standard Selling,300
,504S,Standard Selling,450
,505S,Standard Selling,1500
,506S,Standard Selling,20
,507S,Standard Selling,20
,508S,Standard Selling,250
,509S,Standard Selling,350
,510S,Standard Selling,100
,511S,Standard Selling,150
,512S,Standard Selling,100
,513S,Standard Selling,100
,514S,Standard Selling,1500
,515S,Standard Selling,0
,516S,Standard Selling,120
,517S,Standard Selling,250
,518S,Standard Selling,50
,519S,Standard Selling,230
,520S,Standard Selling,50
,521S,Standard Selling,300
,522S,Standard Selling,340
,523S,Standard Selling,0
,524S,Standard Selling,100
,525S,Standard Selling,250
,526S,Standard Selling,900
,527S,Standard Selling,550
,528S,Standard Selling,300
,529S,Standard Selling,500
,530S,Standard Selling,120
,531S,Standard Selling,250
,532S,Standard Selling,250
,533S,Standard Selling,4000
,534S,Standard Selling,200
,535S,Standard Selling,200
,536S,Standard Selling,13000
,537S,Standard Selling,500
,538S,Standard Selling,5
,539S,Standard Selling,60
,540S,Standard Selling,15
,541S,Standard Selling,15
,542S,Standard Selling,50
,543S,Standard Selling,5
,544S,Standard Selling,5
,545S,Standard Selling,300
,546S,Standard Selling,5
,547S,Standard Selling,0
,548S,Standard Selling,650
,549S,Standard Selling,400
,550S,Standard Selling,1100
,551S,Standard Selling,10
,552S,Standard Selling,20
,553S,Standard Selling,500
,554S,Standard Selling,0
,555S,Standard Selling,0
,556S,Standard Selling,0
,557S,Standard Selling,20
,558S,Standard Selling,10
,559O,Standard Selling,2
,560O,Standard Selling,1
,561O,Standard Selling,1
,562O,Standard Selling,10
,563O,Standard Selling,31
,564O,Standard Selling,8
,565O,Standard Selling,1
,566O,Standard Selling,5
,567O,Standard Selling,1
,568O,Standard Selling,1
,569O,Standard Selling,6
,570O,Standard Selling,1
,571O,Standard Selling,40
,572O,Standard Selling,40
,573O,Standard Selling,50
,574O,Standard Selling,1
,575O,Standard Selling,3
,576O,Standard Selling,15
,577O,Standard Selling,19
,578O,Standard Selling,2
,579O,Standard Selling,134
,580O,Standard Selling,50
,581O,Standard Selling,285
,582O,Standard Selling,472
,583O,Standard Selling,108
,584O,Standard Selling,5000
,585O,Standard Selling,7950
,586O,Standard Selling,20
,587O,Standard Selling,60
,588O,Standard Selling,240
,589O,Standard Selling,30
,590O,Standard Selling,500
,591O,Standard Selling,850
,592O,Standard Selling,0
,593O,Standard Selling,350
,594O,Standard Selling,250
,595O,Standard Selling,50
,596O,Standard Selling,830
,597O,Standard Selling,1230
,598O,Standard Selling,375
,599O,Standard Selling,150
,600O,Standard Selling,50
,601O,Standard Selling,0
,602O,Standard Selling,350
,603O,Standard Selling,5
,604O,Standard Selling,0
,605O,Standard Selling,100
,606O,Standard Selling,150
,607O,Standard Selling,150
,608O,Standard Selling,100
,609O,Standard Selling,100
,610O,Standard Selling,100
,611O,Standard Selling,150
,612O,Standard Selling,100
,613O,Standard Selling,700
,614O,Standard Selling,400
,615O,Standard Selling,150
,616O,Standard Selling,170
,617O,Standard Selling,100
,618O,Standard Selling,60
,619O,Standard Selling,100
,620O,Standard Selling,1700
,621O,Standard Selling,2700
,622O,Standard Selling,1500
,623O,Standard Selling,0
,624O,Standard Selling,1500
,625O,Standard Selling,150
,626O,Standard Selling,400
,627O,Standard Selling,2800
,628O,Standard Selling,1700
,629O,Standard Selling,600
,630O,Standard Selling,230
,631O,Standard Selling,120
,632O,Standard Selling,100
,633O,Standard Selling,460
,634O,Standard Selling,1800
,635O,Standard Selling,300
,636O,Standard Selling,1600
,637O,Standard Selling,450
,638O,Standard Selling,1100
,639O,Standard Selling,7000
,640O,Standard Selling,150
,641O,Standard Selling,6700
,642O,Standard Selling,100
,643O,Standard Selling,2200
,644O,Standard Selling,250
,645O,Standard Selling,200
,646O,Standard Selling,150
,647O,Standard Selling,150
,648O,Standard Selling,15000
,649O,Standard Selling,100
,650O,Standard Selling,20
,651O,Standard Selling,460
,652O,Standard Selling,600
,653O,Standard Selling,360
,654O,Standard Selling,400
,655O,Standard Selling,600
,656O,Standard Selling,0
,657O,Standard Selling,900
,658O,Standard Selling,10
