Data Import Template,,,
Table:,Item Price,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Item Price,,
Column Labels:,Item Code,Price List,Rate
Column Name:,item_code,price_list,price_list_rate
Mandatory:,Yes,Yes,Yes
Type:,Link,Link,Currency
Info:,Valid Item,Valid Price List,
Start entering data below this line,,,
,3541,Standard Selling,1500
,3542,Standard Selling,500
,3543,Standard Selling,2500
,3544,Standard Selling,300
,3546,Standard Selling,500
,3547,Standard Selling,1500
,3548,Standard Selling,2000
,3549,Standard Selling,3000
,3550,Standard Selling,4500
,1390,Standard Selling,3500
,1391,Standard Selling,1000
,1307,Standard Selling,500
,1389,Standard Selling,400
,1306,Standard Selling,650
,1240,Standard Selling,250
,1239,Standard Selling,700
,1317,Standard Selling,500
,1241,Standard Selling,200
,1244,Standard Selling,300
,1243,Standard Selling,400
,1242,Standard Selling,200
,1245,Standard Selling,200
,1291,Standard Selling,200
,1314,Standard Selling,"1,000.00"
,1285,Standard Selling,400
,1309,Standard Selling,400
,1311,Standard Selling,400
,1205,Standard Selling,800
,1313,Standard Selling,"1,000.00"
,1475,Standard Selling,"1,000.00"
,1324,Standard Selling,"1,000.00"
,1310,Standard Selling,400
,1308,Standard Selling,800
,1250,Standard Selling,"1,000.00"
,1263,Standard Selling,200
,1252,Standard Selling,400
,1262,Standard Selling,100
,1267,Standard Selling,700
,1260,Standard Selling,"1,000.00"
,1265,Standard Selling,600
,1480,Standard Selling,400
,1266,Standard Selling,100
,1479,Standard Selling,600
,1478,Standard Selling,300
,1264,Standard Selling,600
,1321,Standard Selling,600
,1287,Standard Selling,600
,1482,Standard Selling,600
,1481,Standard Selling,600
,1312,Standard Selling,600
,1477,Standard Selling,600
,1476,Standard Selling,600
,1717,Standard Selling,700
,1715,Standard Selling,600
,1716,Standard Selling,"1,000.00"
,1340,Standard Selling,600
,3344,Standard Selling,600
,3345,Standard Selling,600
,1351,Standard Selling,600
,3346,Standard Selling,"1,400.00"
,3347,Standard Selling,"1,400.00"
,1350,Standard Selling,900
,3348,Standard Selling,"1,200.00"
,3349,Standard Selling,"1,400.00"
,3350,Standard Selling,700
,3351,Standard Selling,"1,200.00"
,1353,Standard Selling,"1,400.00"
,3411,Standard Selling,900
